X	Y	T
686104.0000	169.0600	17.39342672
686416.5000	187.1700	17.20745861
686729.0000	258.6400	17.03012473
687041.5000	317.4600	16.86841814
687354.0000	374.6900	16.72030688
687666.5000	391.2500	16.56543183
687979.0000	367.0100	16.40965172
688291.5000	305.1900	16.22905285
688604.0000	220.5200	16.06262407
688916.5000	212.7900	15.91738113
689229.0000	230.3400	15.77588435
689541.5000	264.6900	15.63796953
689854.0000	339.0700	15.49910292
690166.5000	367.1900	15.37909356
690479.0000	313.3000	15.27163471
690791.5000	283.1300	15.16053937
691104.0000	178.0100	15.04197898
691416.5000	71.3100	14.94294162
691729.0000	119.2200	14.83859455
692041.5000	216.7900	14.74955772
692354.0000	187.9900	14.65633594
692666.5000	74.3500	14.58423420
692979.0000	84.8000	14.52401309
693291.5000	132.4300	14.45611202
693604.0000	185.9100	14.41706940
693916.5000	290.0200	14.36782294
694229.0000	339.3900	14.31600319
694541.5000	305.5400	14.28380719
694854.0000	228.3900	14.22451817
695166.5000	96.6200	14.21434729
695479.0000	2.3100	14.23471017
695791.5000	22.2000	14.21822390
696104.0000	47.7000	14.20397044
696416.5000	150.1900	14.19754522
696729.0000	235.5200	14.21402300
697041.5000	181.1900	14.23148780
697354.0000	77.2600	14.26625174
697666.5000	-43.3700	14.30604010
697979.0000	-131.2100	14.35780405
698291.5000	-82.0500	14.41737882
698604.0000	-12.2900	14.48488899
698916.5000	-84.2100	14.57252652
699229.0000	-185.0900	14.67694749
699541.5000	-228.1500	14.77036237
699854.0000	-252.5700	14.86334476
700166.5000	-100.8200	14.96108584
700479.0000	160.9200	15.02817517
700791.5000	177.9500	15.12131356
701104.0000	143.6800	15.26627777
701416.5000	-29.5300	15.43484279
701729.0000	-183.5100	15.60287440
702041.5000	-68.7000	15.70115427
702354.0000	57.1900	15.80931437
702666.5000	27.6400	15.93660622
702979.0000	19.1500	16.07881300
703291.5000	2.4900	16.23553650
703604.0000	-13.1900	16.39150398
703916.5000	53.1300	16.52895399
704229.0000	122.7800	16.68002292
704541.5000	279.3500	16.83606182
704854.0000	448.7400	16.99512255
705166.5000	500.8600	17.14373593
705479.0000	508.2800	17.30147923
705791.5000	445.7900	17.48459828
706104.0000	378.5000	17.67560717
706104.0000	363.4700	17.34480551
706104.0000	347.9200	17.02012424
706104.0000	503.0900	16.65713760
706104.0000	604.3100	16.32843672
706104.0000	594.6000	16.02734782
706104.0000	651.3900	15.65191483
706104.0000	595.7500	15.28661949
706104.0000	500.5100	14.93936981
706104.0000	577.9300	14.61883197
706104.0000	647.5600	14.30766238
706104.0000	641.7800	14.01492093
706104.0000	604.2800	13.74854504
706104.0000	503.6100	13.47392336
706104.0000	333.9800	13.18569991
706104.0000	271.4500	12.94817174
706104.0000	318.3300	12.68590340
706104.0000	520.6400	12.39467247
706104.0000	644.5200	12.16672350
706104.0000	697.9800	11.95734482
706104.0000	657.0600	11.75617586
706104.0000	601.6800	11.57117190
706104.0000	490.6900	11.40025805
706104.0000	334.5800	11.24704790
706104.0000	303.3400	11.11027925
706104.0000	192.0500	11.00910062
706104.0000	70.1200	10.95837049
706104.0000	-117.6200	10.88774011
706104.0000	-154.9300	10.80449043
706104.0000	16.2500	10.69548722
706104.0000	148.2100	10.61382245
706104.0000	301.2200	10.55265423
706104.0000	437.8900	10.53203276
706104.0000	430.5600	10.52689960
706104.0000	452.9500	10.55496961
706104.0000	435.2300	10.59644595
706104.0000	365.2700	10.67322858
706104.0000	221.6500	10.78952123
706104.0000	113.3800	10.92274236
706104.0000	109.8000	11.06372359
706104.0000	153.1500	11.21839394
706104.0000	243.9600	11.38625945
706104.0000	386.3700	11.54413507
706104.0000	450.0500	11.64542797
706104.0000	463.1200	11.77486250
706104.0000	390.3700	11.97150402
706104.0000	386.5200	12.17045357
706104.0000	489.4500	12.35907624
706104.0000	655.5400	12.62140675
706104.0000	657.7400	12.92505661
706104.0000	625.6900	13.22972155
706104.0000	570.2500	13.53649202
706104.0000	479.3500	13.85310671
706104.0000	425.1700	14.16280146
706104.0000	410.7500	14.46116415
706104.0000	421.9700	14.75385732
706104.0000	453.3400	15.03960508
706104.0000	462.2300	15.33873887
706104.0000	461.5800	15.65406672
706104.0000	425.2900	15.97723499
706104.0000	494.4900	16.30494283
706104.0000	571.1800	16.64843950
706104.0000	629.5000	16.98712971
706104.0000	636.7700	17.34173145
706104.0000	630.6500	17.70083673
705791.5000	657.1100	17.52399398
705479.0000	679.5400	17.35475619
705166.5000	710.1400	17.19405749
704854.0000	720.6400	17.03635395
704541.5000	717.5900	16.88080191
704229.0000	703.6800	16.72868332
703916.5000	684.6100	16.57755704
703604.0000	676.5300	16.42986230
703291.5000	686.1100	16.27921676
702979.0000	694.7700	16.12595784
702666.5000	693.5100	15.97015499
702354.0000	683.5200	15.81056053
702041.5000	632.2600	15.64782684
701729.0000	547.4900	15.49328463
701416.5000	449.3900	15.35655959
701104.0000	339.5300	15.23883509
700791.5000	326.0300	15.12584269
700479.0000	449.9000	15.04205703
700166.5000	553.4700	14.97770624
699854.0000	611.9200	14.90419402
699541.5000	620.7500	14.82299212
699229.0000	520.2600	14.71838999
698916.5000	459.7100	14.62921078
698604.0000	429.1300	14.54104501
698291.5000	434.2500	14.46743966
697979.0000	429.6500	14.40750536
697666.5000	415.8000	14.36386595
697354.0000	464.7700	14.32164634
697041.5000	511.3200	14.28206966
696729.0000	589.6000	14.24736875
696416.5000	661.0600	14.22555380
696104.0000	620.0700	14.20963648
695791.5000	560.9200	14.19782444
695479.0000	470.0300	14.20417003
695166.5000	370.5000	14.20468960
694854.0000	287.9700	14.22126415
694541.5000	241.1900	14.25253289
694229.0000	219.8300	14.25318541
693916.5000	227.3000	14.30723781
693604.0000	93.7500	14.34421593
693291.5000	-44.0300	14.38952388
692979.0000	-193.0400	14.46473301
692666.5000	-267.2200	14.55688485
692354.0000	-183.1600	14.63570093
692041.5000	-120.8000	14.71262602
691729.0000	-70.5000	14.79180725
691416.5000	-25.6400	14.88861432
691104.0000	-49.1200	15.00666529
690791.5000	-142.3400	15.14036824
690479.0000	-128.1900	15.24647031
690166.5000	-38.0300	15.33940665
689854.0000	59.3300	15.43730497
689541.5000	173.1600	15.58053691
689229.0000	324.3700	15.76589982
688916.5000	376.5700	15.91079201
688604.0000	437.6600	16.06172000
688291.5000	428.6400	16.22767465
687979.0000	342.8100	16.40640322
687666.5000	298.7900	16.57129898
687354.0000	245.5800	16.72992451
687041.5000	176.7100	16.93325227
686729.0000	101.0900	17.13971942
686416.5000	43.1300	17.34148624
686104.0000	37.3500	17.52557997
686104.0000	59.7600	17.17562352
